mjd, bright, cum_bright, dark, cum_dark
60494.0, 0.00, 1841.19, 11.34, 2673.30
60495.0, 0.00, 1841.19, 11.33, 2684.63
60496.0, 0.00, 1841.19, 11.32, 2695.96
60497.0, 0.00, 1841.19, 11.32, 2707.27
60498.0, 0.00, 1841.19, 11.31, 2718.58
60499.0, 0.00, 1841.19, 11.30, 2729.89
60500.0, 0.00, 1841.19, 11.29, 2741.18
60501.0, 0.00, 1841.19, 11.29, 2752.47
60502.0, 0.00, 1841.19, 11.28, 2763.74
60503.0, 0.00, 1841.19, 11.27, 2775.01
60504.0, 5.07, 1846.26, 6.18, 2781.19
60505.0, 5.95, 1852.22, 5.29, 2786.48
60506.0, 6.86, 1859.08, 4.37, 2790.85
60507.0, 7.82, 1866.90, 3.40, 2794.25
60508.0, 8.83, 1875.73, 2.38, 2796.64
60509.0, 9.86, 1885.59, 1.34, 2797.97
60510.0, 11.19, 1896.78, 0.00, 2797.97
60511.0, 11.17, 1907.95, 0.00, 2797.97
60512.0, 11.16, 1919.12, 0.00, 2797.97
60515.0, 9.60, 1928.72, 1.52, 2799.49
60516.0, 8.48, 1937.20, 2.62, 2802.11
60517.0, 7.39, 1944.59, 3.70, 2805.81
60518.0, 6.30, 1950.89, 4.77, 2810.58
60519.0, 5.20, 1956.09, 5.86, 2816.44
60520.0, 4.09, 1960.17, 6.95, 2823.39
60521.0, 0.00, 1960.17, 11.02, 2834.41
60522.0, 0.00, 1960.17, 11.01, 2845.42
60523.0, 0.00, 1960.17, 10.99, 2856.41
60524.0, 0.00, 1960.17, 10.97, 2867.38
60525.0, 0.00, 1960.17, 10.95, 2878.33
60526.0, 0.00, 1960.17, 10.93, 2889.26
60527.0, 0.00, 1960.17, 10.92, 2900.18
60528.0, 0.00, 1960.17, 10.90, 2911.08
60529.0, 0.00, 1960.17, 10.88, 2921.95
60530.0, 0.00, 1960.17, 10.86, 2932.81
60531.0, 0.00, 1960.17, 10.84, 2943.65
60532.0, 0.00, 1960.17, 10.82, 2954.47
60533.0, 0.00, 1960.17, 10.80, 2965.26
60534.0, 5.42, 1965.60, 5.35, 2970.61
60535.0, 6.39, 1971.99, 4.36, 2974.98
60536.0, 7.40, 1979.39, 3.34, 2978.31
60537.0, 8.41, 1987.80, 2.30, 2980.62
60538.0, 9.39, 1997.19, 1.30, 2981.92
60539.0, 10.67, 2007.85, 0.00, 2981.92
60540.0, 10.64, 2018.50, 0.00, 2981.92
60541.0, 10.62, 2029.12, 0.00, 2981.92
60544.0, 9.30, 2038.42, 1.25, 2983.17
60545.0, 8.16, 2046.58, 2.37, 2985.53
60546.0, 7.02, 2053.61, 3.48, 2989.01
60547.0, 5.88, 2059.48, 4.60, 2993.62
60548.0, 4.73, 2064.21, 5.73, 2999.35
60549.0, 3.61, 2067.82, 6.82, 3006.16
60550.0, 0.00, 2067.82, 10.41, 3016.57
60551.0, 0.00, 2067.82, 10.38, 3026.95
60552.0, 0.00, 2067.82, 10.36, 3037.30
60553.0, 0.00, 2067.82, 10.33, 3047.63
60554.0, 0.00, 2067.82, 10.30, 3057.94
60555.0, 0.00, 2067.82, 10.28, 3068.21
60556.0, 0.00, 2067.82, 10.25, 3078.46
60557.0, 0.00, 2067.82, 10.22, 3088.69
60558.0, 0.00, 2067.82, 10.20, 3098.89
60559.0, 0.00, 2067.82, 10.17, 3109.06
60560.0, 0.00, 2067.82, 10.14, 3119.20
60561.0, 0.00, 2067.82, 10.12, 3129.31
60562.0, 0.00, 2067.82, 10.09, 3139.40
60563.0, 5.00, 2072.82, 5.06, 3144.46
60564.0, 5.99, 2078.81, 4.04, 3148.51
60565.0, 6.96, 2085.77, 3.05, 3151.56
60566.0, 7.87, 2093.64, 2.11, 3153.66
60567.0, 8.69, 2102.33, 1.25, 3154.91
60568.0, 9.43, 2111.76, 0.49, 3155.41
60569.0, 9.89, 2121.65, 0.00, 3155.41
60570.0, 9.86, 2131.51, 0.00, 3155.41
60571.0, 9.83, 2141.34, 0.00, 3155.41
60574.0, 7.63, 2148.98, 2.11, 3157.51
60575.0, 6.44, 2155.41, 3.28, 3160.79
60576.0, 5.26, 2160.68, 4.42, 3165.21
60577.0, 4.16, 2164.84, 5.49, 3170.70
60578.0, 3.17, 2168.01, 6.45, 3177.15
60579.0, 0.00, 2168.01, 9.59, 3186.74
60580.0, 0.00, 2168.01, 9.56, 3196.30
60581.0, 0.00, 2168.01, 9.53, 3205.83
60582.0, 0.00, 2168.01, 9.50, 3215.33
60583.0, 0.00, 2168.01, 9.47, 3224.80
60584.0, 0.00, 2168.01, 9.44, 3234.24
60585.0, 0.00, 2168.01, 9.40, 3243.64
60586.0, 0.00, 2168.01, 9.37, 3253.01
60587.0, 0.00, 2168.01, 9.34, 3262.35
60588.0, 0.00, 2168.01, 9.31, 3271.66
60589.0, 0.00, 2168.01, 9.28, 3280.94
60590.0, 0.00, 2168.01, 9.25, 3290.19
60591.0, 0.00, 2168.01, 9.21, 3299.40
60592.0, 0.00, 2168.01, 9.18, 3308.58
60593.0, 5.46, 2173.47, 3.69, 3312.27
60594.0, 6.29, 2179.76, 2.83, 3315.09
60595.0, 7.03, 2186.79, 2.05, 3317.15
60596.0, 7.69, 2194.48, 1.36, 3318.51
60597.0, 8.28, 2202.76, 0.74, 3319.25
60598.0, 8.99, 2211.75, 0.00, 3319.25
60599.0, 8.95, 2220.70, 0.00, 3319.25
60600.0, 8.92, 2229.62, 0.00, 3319.25
